variant,category,latency_seconds,retrieval_latency_ms,reranking_latency_ms,generation_latency_ms,insufficient_rate,numerical_accuracy,error_rate
v0_llm_only,comparative_analysis,4.6866,0.0,0.0,4685.9,0.0,0.2,0.0
v0_llm_only,factual_retrieval,2.623,0.0,0.0,2623.202,0.0,0.4,0.0
v0_llm_only,multi_hop_reasoning,2.7656,0.0,0.0,2764.876,0.0,0.2,0.0
v0_llm_only,temporal_reasoning,2.2376,0.0,0.0,2235.462,0.0,0.2,0.0
v1_baseline,comparative_analysis,2.4992,363.86,0.0,2127.9939999999997,0.0,0.4,0.0
v1_baseline,factual_retrieval,3.9038000000000004,1602.518,0.0,2299.08,0.0,0.2,0.0
v1_baseline,multi_hop_reasoning,3.7854,408.838,0.0,3373.976,0.0,0.2,0.0
v1_baseline,temporal_reasoning,2.5728,361.77,0.0,2209.9,0.0,0.8,0.0
v2_advanced_a,comparative_analysis,4.7524,447.27,1814.4800000000002,2490.5260000000003,0.0,0.4,0.0
v2_advanced_a,factual_retrieval,5.506600000000001,964.566,2112.776,2429.0860000000002,0.0,0.4,0.0
v2_advanced_a,multi_hop_reasoning,6.6178,433.012,1391.95,4790.61,0.0,0.4,0.0
v2_advanced_a,temporal_reasoning,4.1998,391.952,1708.688,2098.512,0.0,0.6,0.0
v3_advanced_b,comparative_analysis,11.0634,545.436,3690.5380000000005,6826.566000000001,0.0,0.4,0.0
v3_advanced_b,factual_retrieval,7.6903999999999995,1100.706,3353.636,3232.072,0.0,0.6,0.0
v3_advanced_b,multi_hop_reasoning,14.4248,615.558,3843.7839999999997,9963.384,0.0,0.4,0.0
v3_advanced_b,temporal_reasoning,10.5654,610.4,3641.8419999999996,6311.916,0.0,0.8,0.0
v4_advanced_c,comparative_analysis,12.5254,619.908,3801.94,6990.49,0.0,0.8,0.0
v4_advanced_c,factual_retrieval,7.6732,1116.912,3679.464,1904.1080000000002,0.0,0.6,0.0
v4_advanced_c,multi_hop_reasoning,11.2664,619.642,4227.158,5292.878,0.0,0.2,0.0
v4_advanced_c,temporal_reasoning,8.7682,607.864,4489.732,2639.172,0.0,0.6,0.0
v5_advanced_d,comparative_analysis,3.2258000000000004,479.77,0.0,2745.004,0.0,0.4,0.0
v5_advanced_d,factual_retrieval,3.6948,1059.466,0.0,2634.642,0.0,0.2,0.0
v5_advanced_d,multi_hop_reasoning,3.4186,354.46999999999997,0.0,3063.7599999999998,0.0,0.0,0.0
v5_advanced_d,temporal_reasoning,2.648,466.62000000000006,0.0,2179.264,0.0,0.8,0.0
v6_advanced_e,comparative_analysis,16.339199999999998,350.488,4240.668,11742.634,0.0,0.6,0.0
v6_advanced_e,factual_retrieval,7.743600000000001,1048.396,3772.308,2918.924,0.0,0.6,0.0
v6_advanced_e,multi_hop_reasoning,10.7486,346.41,3982.032,6416.111999999999,0.0,0.4,0.0
v6_advanced_e,temporal_reasoning,7.199600000000001,257.712,3671.0739999999996,3266.2799999999997,0.0,0.6,0.0
